No.,Vocab,Catagory,Language,Syllable,Meaning,File Name,Difficult (Star)
1,mycorrhiza,Environment,Eng,4,ความสัมพันธ์แบบพึ่งพาอาศัยกันระหว่างเชื้อรากลุ่มหนึ่งกับระบบรากของพืชชั้นสูง โดยพืชได้น้ำและแร่ธาตุ เช่น ฟอสฟอรัสจากเชื้อรา ส่วนเชื้อราได้น้ำตาลและสารอาหารจากพืช,MW0001.png,4
2,ตัดไม้ทำลายป่า,Environment,Th,5,การตัดหรือถางต้นไม้และพื้นที่ป่าธรรมชาติออกไปอย่างถาวร เพื่อเปลี่ยนสภาพพื้นที่ไปใช้ประโยชน์ในด้านอื่น เช่น การเกษตรกรรม การสร้างบ้านเรือน หรือการขยายเขตอุตสาหกรรม,MW0002.png,3
3,Carnivore,Environment,Eng,3,สิ่งมีชีวิตที่ได้รับพลังงานและสารอาหารจากการกินเนื้อเยื่อของสัตว์อื่นเป็นหลัก โดยการล่าหรือกินซาก,MW0003.png,3
4,บัญชีแดง,Environment,Th,3,รายชื่อและข้อมูลที่บอกระดับความเสี่ยงต่อการสูญพันธุ์ ของสัตว์ พืช และจุลินทรีย์ทั่วโลก,MW0004.png,3
5,พันธุกรรม,"Environment, Social",Th,3,การถ่ายทอดลักษณะต่าง ๆ ของสิ่งมีชีวิตจากรุ่นหนึ่งไปยังรุ่นต่อไป,MW0005.png,2
6,อพยพ,"Environment, Social",Th,3,การย้ายถิ่นฐานหรือการเคลื่อนย้ายผู้คน ครอบครัว หรือกลุ่มชน จากสถานที่หรือถิ่นที่อยู่เดิมไปยังอีกถิ่นหนึ่ง,MW0006.png,5
7,ผู้ล่า,Environment,Th,2,สิ่งมีชีวิตที่จับสิ่งมีชีวิตอื่นเป็นอาหาร,MW0007.png,1
8,Wind Turbine,Environment,Eng,3,เครื่องจักรที่ทำหน้าที่เปลี่ยนพลังงานลมให้เป็นพลังงานกลและพลังงานไฟฟ้า,MW0008.png,2
9,เกษตรฟื้นฟู,Environment,Th,4,ระบบการทำเกษตรที่มุ่งฟื้นฟูความอุดมสมบูรณ์ของดิน เพิ่มความหลากหลายทางชีวภาพ และลดการใช้สารเคมี เพื่อสร้างความยั่งยืนให้กับระบบนิเวศในระยะยาว,MW0009.png,2
10,Green Finance,"Environment, Economy",Eng,3,แนวทางการจัดสรรเงินทุน การลงทุน และบริการทางการเงินที่มุ่งสนับสนุนโครงการหรือกิจกรรมซึ่งเป็นมิตรต่อสิ่งแวดล้อม,MW0010.png,3
11,บึงประดิษฐ์,Environment,Th,3,ระบบบำบัดน้ำเสียที่จำลองและอาศัยกระบวนการทางธรรมชาติ โดยการสร้างบ่อตื้นๆ ปลูกพืชน้ำเพื่อกรอง ดัก และย่อยสลายสารมลพิษในน้ำเสีย,MW0011.png,4
12,Supply Chain,"Environment, Social",Eng,3,เครือข่ายความร่วมมือของกระบวนการทั้งหมดที่เกี่ยวข้อง ตั้งแต่การจัดหาวัตถุดิบ การผลิต การจัดเก็บสินค้า การกระจายสินค้า จนถึงการส่งมอบสินค้าหรือบริการถึงมือผู้บริโภค,MW0012.png,3
13,Mindfulness,Wellness,Eng,3,การมีสติหรือความระลึกรู้ตัวอยู่กับปัจจุบัน เป็นการฝึกจิตใจให้จดจ่ออยู่กับสิ่งที่เกิดขึ้นในวินาทีนั้น โดยการสังเกตความรู้สึก ความคิด และร่างกายของตนเองอย่างเข้าใจ,MW0013.png,3
14,แก้วส่วนตัว,Environment,Th,3,ภาชนะใส่น้ำหรือเครื่องดื่มส่วนบุคคล เช่น แก้วเก็บความเย็น กระบอกน้ำ หรือแก้วทัมเบลอร์ ที่ผู้ใช้นำติดตัวมาเองเพื่อใช้ใส่เครื่องดื่มส่วนตัว ช่วยลดขยะพลาสติก,MW0014.png,3
15,น้ำป่าไหลหลาก,Environment,Th,4,ปรากฏการณ์ภัยธรรมชาติที่กระแสน้ำจำนวนมากไหลบ่าจากพื้นที่สูง ภูเขา หรือต้นน้ำลำธารลงสู่พื้นที่ราบลุ่มต่ำด้านล่างอย่างรวดเร็วและรุนแรง,MW0015.png,2
16,ป่าชุมชน,"Environment, Social",Th,3,พื้นที่ป่าไม้ที่คนในท้องถิ่นและชุมชนร่วมมือกับภาครัฐช่วยกันดูแล รักษา ฟื้นฟู และใช้ประโยชน์จากธรรมชาติร่วมกันอย่างสมดุล,MW0016.png,3
17,Local Food,"Environment, Economy",Eng,3,อาหารและเครื่องดื่มที่ปรุงจากวัตถุดิบซึ่งหาได้ในพื้นที่นั้น ๆ โดยมักมีระยะทางการขนส่งสั้น ไม่เกิน 100 ไมล์หรือประมาณ 160 กิโลเมตร อาหารประเภทนี้สะท้อนถึงวิถีชีวิต วัฒนธรรม และภูมิปัญญาที่สืบทอดกันมา,MW0017.png,4
18,Active Learning,Education,Eng,4,กระบวนการจัดการเรียนการสอนที่เน้นให้ผู้เรียนมีส่วนร่วมและลงมือปฏิบัติจริง,MW0018.png,5
19,สูญพันธุ์,Environment,Th,2,การสิ้นสุดการดำรงอยู่ของสิ่งมีชีวิตหรือสายพันธุ์ใดสายพันธุ์หนึ่ง,MW0019.png,3
20,ปะการัง,Environment,Th,3,สัตว์ทะเลไม่มีกระดูกสันหลังที่ตัวเล็กมาก ที่กำลังได้รับผลกระทบจากภาวะโลกร้อน เพราะเมื่อน้ำทะเลมีอุณหภูมิสูงขึ้นจะทำให้เกิดปรากฏการณ์ปะการังฟอกขาว,MW0020.png,2
21,ธารน้ำแข็ง,Environment,Th,3,ก้อนน้ำแข็งขนาดใหญ่ที่เกิดจากการสะสมตัวของหิมะทับถมกันหนาหลายปีจนอัดแน่นกลายเป็นน้ำแข็ง และเคลื่อนตัวลงมาตามลาดเขาหรือหุบเขาอย่างช้าๆ,MW0021.png,3
22,Food Mile,Environment,Eng,2,ระยะทางที่อาหารเดินทางจากแหล่งผลิตหรือฟาร์ม จนมาถึงมือผู้บริโภค ยิ่งอาหารเดินทางไกลมากเท่าไหร่ ก็ยิ่งใช้พลังงานในการขนส่งมากเท่านั้น,MW0022.png,4
23,Methane,Environment,Eng,2,ก๊าซเรือนกระจก ซึ่งมีฤทธิ์รุนแรงในการกักเก็บความร้อนในชั้นบรรยากาศมากกว่าก๊าซคาร์บอนไดออกไซด์,MW0023.png,2
24,Mindset,"Social, Education",Eng,2,กรอบความคิดหรือความเชื่อที่ส่งผลต่อพฤติกรรม มันคือวิธีคิด มุมมอง และความรู้สึกที่บุคคลมีต่อสิ่งรอบตัว,MW0024.png,3
